Employee_ID;First_Name;Last_Name;Age;Department;Region;Status;Join_Date;Salary;Email;Phone;Performance_Score;Remote_Work
EMP1000;Bob;Davis;25;DevOps;California;Active;02/04/2021;59767.65;bob.davis@example.com;(165) 162-3197;2;1
EMP1001;Bob;Brown;30;Finance;Texas;Active;10/07/2020;65304.66;bob.brown@example.com;(189) 847-1390;4;1
EMP1002;Alice;Jones;30;Admin;Nevada;Pending;07/12/2023;88145.9;alice.jones@example.com;(559) 636-3211;3;1
EMP1003;Eva;Davis;25;Admin;Nevada;Inactive;27/11/2021;69450.99;eva.davis@example.com;(347) 649-0784;3;1
EMP1004;Frank;Williams;25;Cloud Tech;Florida;Active;05/01/2022;109324.61;frank.williams@example.com;(158) 673-4256;1;0
EMP1005;Alice;Garcia;40;Sales;Texas;Inactive;10/06/2020;88642.84;alice.garcia@example.com;(540) 900-3485;3;0
EMP1006;Frank;Jones;30;Admin;Nevada;Active;03/04/2020;96288.43;frank.jones@example.com;(451) 837-6063;3;0
EMP1007;Bob;Jones;30;Cloud Tech;Florida;Inactive;17/07/2022;94497.91;bob.jones@example.com;(413) 432-7559;2;1
EMP1008;Frank;Davis;35;Admin;Nevada;Inactive;08/12/2023;115565.82;frank.davis@example.com;(417) 765-6123;4;1
EMP1009;Charlie;Johnson;30;DevOps;New York;Active;04/08/2022;76561.88;charlie.johnson@example.com;(815) 698-5699;4;1
EMP1010;David;Williams;35;Cloud Tech;New York;Active;06/07/2024;72081.71;david.williams@example.com;(272) 063-4590;2;0
EMP1011;David;Davis;30;DevOps;California;Active;04/09/2023;84946.19;david.davis@example.com;(123) 829-6576;1;1
EMP1012;Heidi;Williams;30;HR;New York;Active;05/03/2024;89295.77;heidi.williams@example.com;(242) 954-3164;4;0
EMP1013;Grace;Williams;30;Finance;California;Active;10/10/2020;85666.84;grace.williams@example.com;(266) 930-0892;3;0
EMP1014;Alice;Garcia;25;Admin;Nevada;Active;10/06/2024;97633.68;alice.garcia@example.com;(173) 420-6968;4;1
EMP1015;Grace;Jones;40;Sales;Florida;Pending;29/05/2021;117975.49;grace.jones@example.com;(421) 529-1085;3;1
EMP1016;Alice;Brown;25;DevOps;Illinois;Inactive;23/04/2024;94867.33;alice.brown@example.com;(771) 333-4475;1;0
EMP1017;Grace;Garcia;30;Finance;Texas;Pending;28/11/2024;100377.65;grace.garcia@example.com;(263) 934-3625;2;1
EMP1018;Charlie;Garcia;30;Cloud Tech;Nevada;Inactive;19/09/2024;94726.46;charlie.garcia@example.com;(204) 439-7358;4;0
EMP1019;Charlie;Williams;35;Admin;Illinois;Pending;02/01/2020;91926.12;charlie.williams@example.com;(710) 725-6365;2;1
EMP1020;Bob;Miller;35;HR;New York;Active;08/05/2021;111460.67;bob.miller@example.com;(941) 180-0536;4;1
EMP1021;Bob;Jones;40;Cloud Tech;Illinois;Active;19/09/2020;96182.56;bob.jones@example.com;(599) 004-8963;3;0
EMP1022;Charlie;Johnson;35;Sales;Illinois;Inactive;09/03/2021;115023.94;charlie.johnson@example.com;(652) 809-2427;2;1
